date,user_id,rating,genre
2022-01-29,33,3,Comedy
2022-05-24,61,5,Drama
2022-04-27,23,4,Drama
2022-01-25,2,4,Horror
2022-04-29,77,2,Action
2022-04-10,20,4,Horror
2022-05-16,11,3,Horror
2022-05-12,81,2,Horror
2022-01-19,59,4,Drama
2022-01-02,83,5,Drama
2022-05-17,46,3,Action
2022-05-05,14,1,Action
2022-01-10,8,3,Horror
2022-04-29,66,3,Comedy
2022-05-10,45,5,Action
2022-01-04,28,3,Drama
2022-04-02,65,5,Comedy
2022-04-09,67,1,Action
2022-04-02,67,2,Horror
2022-01-30,93,3,Comedy
2022-06-16,22,5,Action
2022-01-17,37,4,Drama
2022-01-31,39,4,Drama
2022-01-31,27,4,Horror
2022-05-17,54,4,Horror
2022-05-03,37,2,Horror
2022-02-13,3,4,Comedy
2022-04-15,46,5,Action
2022-01-16,58,4,Comedy
2022-02-14,11,3,Action
2022-02-28,25,1,Horror
2022-04-07,56,5,Action
2022-03-10,12,2,Action
2022-06-10,64,1,Action
2022-05-09,34,1,Drama
2022-05-04,75,2,Comedy
2022-03-27,19,2,Drama
2022-03-31,11,4,Horror
2022-04-18,93,5,Drama
2022-04-11,93,5,Horror
2022-05-19,2,4,Horror
2022-01-14,72,4,Comedy
2022-06-16,28,3,Action
2022-01-03,82,1,Horror
2022-03-27,48,2,Comedy
2022-04-16,51,3,Horror
2022-06-14,28,2,Action
2022-01-02,37,5,Horror
2022-02-19,93,2,Comedy
2022-02-08,51,1,Action
2022-01-20,94,3,Action
2022-02-22,40,5,Drama
2022-06-05,88,2,Comedy
2022-05-04,78,3,Horror
2022-02-15,56,4,Comedy
2022-05-17,65,4,Action
2022-04-13,65,3,Drama
2022-03-03,35,1,Comedy
2022-03-01,32,4,Drama
2022-04-23,43,4,Drama
2022-03-26,47,1,Drama
2022-01-13,75,2,Action
2022-02-16,26,5,Action
2022-04-02,4,2,Action
2022-05-09,41,4,Comedy
2022-04-28,2,5,Horror
2022-06-20,49,5,Horror
2022-02-10,52,2,Comedy
2022-02-17,12,1,Drama
2022-05-22,31,2,Comedy
2022-02-23,95,1,Comedy
2022-06-27,47,5,Action
2022-05-21,96,5,Action
2022-05-08,30,3,Comedy
2022-01-01,35,5,Horror
2022-01-11,46,3,Action
2022-01-09,20,2,Comedy
2022-06-03,15,2,Drama
2022-05-02,50,1,Action
2022-05-30,20,1,Horror
2022-06-21,26,3,Action
2022-03-22,87,2,Action
2022-04-18,1,4,Action
2022-02-26,83,4,Action
2022-06-07,2,5,Comedy
2022-05-21,67,3,Drama
2022-01-28,58,4,Comedy
2022-06-11,70,4,Drama
2022-06-20,27,4,Drama
2022-04-18,98,3,Horror
2022-01-20,53,3,Horror
2022-01-29,12,4,Comedy
2022-02-26,72,4,Horror
2022-04-09,22,3,Horror
2022-03-20,54,4,Horror
2022-06-24,55,1,Drama
2022-04-03,85,4,Action
2022-02-21,58,2,Drama
2022-04-12,21,1,Comedy
2022-05-24,92,4,Comedy
2022-01-05,38,4,Action
2022-05-15,64,4,Horror
2022-06-25,62,5,Horror
2022-02-05,27,4,Action
2022-02-13,10,1,Horror
2022-02-21,17,3,Comedy
2022-02-10,28,3,Action
2022-06-24,80,3,Drama
2022-01-31,16,1,Comedy
2022-01-29,54,2,Drama
2022-01-23,85,2,Drama
2022-02-14,3,1,Action
2022-01-08,25,2,Drama
2022-04-02,4,1,Drama
2022-05-19,83,5,Action
2022-05-31,55,1,Horror
2022-06-07,42,1,Action
2022-03-06,44,3,Comedy
2022-02-25,71,2,Drama
2022-05-14,55,2,Drama
2022-04-24,84,4,Horror
2022-05-23,16,1,Comedy
2022-05-24,31,3,Action
2022-02-05,46,4,Horror
2022-05-13,56,5,Horror
2022-06-03,64,3,Action
2022-04-07,54,5,Drama
2022-03-01,78,4,Action
2022-01-01,5,3,Drama
2022-01-07,7,4,Action
2022-06-21,59,2,Comedy
2022-06-04,65,4,Action
2022-01-23,14,5,Horror
2022-05-30,66,2,Action
2022-05-18,24,5,Action
2022-03-24,79,1,Drama
2022-06-04,55,4,Comedy
2022-04-09,60,1,Comedy
2022-04-13,21,2,Action
2022-06-21,28,1,Comedy
2022-03-08,24,2,Drama
2022-06-03,79,2,Comedy
2022-05-26,54,3,Horror
2022-02-24,7,1,Drama
2022-01-25,52,1,Comedy
2022-02-09,54,1,Action
2022-04-09,27,1,Action
2022-03-27,87,5,Drama
2022-05-08,58,2,Drama
2022-06-30,42,1,Drama
2022-03-03,38,1,Drama
2022-04-07,66,5,Action
2022-01-20,58,3,Comedy
2022-06-16,52,4,Horror
2022-04-21,46,2,Horror
2022-04-26,30,3,Comedy
2022-04-10,53,4,Comedy
2022-05-14,22,2,Comedy
2022-06-11,9,4,Action
2022-02-17,50,5,Horror
2022-06-12,16,5,Action
2022-03-23,66,4,Drama
2022-05-11,94,4,Comedy
2022-06-10,38,3,Horror
2022-01-28,91,4,Comedy
2022-06-15,75,2,Horror
2022-04-03,36,1,Comedy
2022-05-27,48,3,Action
2022-01-08,2,4,Action
2022-05-10,11,3,Action
2022-01-24,6,4,Horror
2022-06-24,28,5,Action
2022-01-07,45,4,Horror
2022-04-03,29,4,Drama
2022-06-29,97,3,Horror
2022-02-22,64,3,Action
2022-06-07,71,3,Action
2022-06-20,45,2,Comedy
2022-01-25,53,1,Horror
